Id,Id2,Geography,Estimate; Total:, United Kingdom ,England,France,Scotland, Ireland,Denmark,Norway, Sweden,Estimate; Europe: - Western Europe:, Austria, Belgium, Germany, Netherlands,Switzerland,Greece,Italy, Portugal,Azores Islands, Spain,Albania, Belarus,Bulgaria,Croatia,Czechoslovakia (includes Czech Republic and Slovakia),Hungary,Latvia,Lithuania, Macedonia, Moldova, Poland, Romania,Russia,Ukraine,Bosnia and Herzegovina,Serbia,China,Hong Kong,Taiwan,Japan,Korea,Afghanistan, Bangladesh, India,Iran, Kazakhstan,Nepal,Pakistan, Sri Lanka, Uzbekistan, Cambodia, Indonesia, Laos, Malaysia,Burma, Philippines,Singapore, Thailand,Vietnam, Iraq,Israel,Jordan,Kuwait, Lebanon,Saudi Arabia, Syria,Yemen,Turkey,Armenia, Eritrea,Ethiopia,Kenya,Somalia,Cameroon,Egypt,Morocco,Sudan,South Africa, Cabo Verde, Ghana, Liberia,Nigeria,Sierra Leone,Africa, Australia,New Zealand,Fiji,Caribbean,Bahamas,Barbados,Cuba, Dominica, Dominican Republic, Grenada, Haiti, Jamaica,St. Vincent and the Grenadines, West Indies,Mexico,Belize, Costa Rica, El Salvador, Guatemala,Honduras, Nicaragua,Panama, Argentina,Bolivia, Brazil,Chile,Colombia,Ecuador, Guyana,Peru, Uruguay,Venezuela,Canada
0400000US44,44,Rhode Island,140582,2178,833,666,195,1021,32,76,276,3028,141,88,1835,156,119,676,2917,15675,2582,411,86,289,186,151,42,126,98,48,18,84,1825,305,1029,401,122,22,5816,570,629,570,1238,96,342,3865,173,61,251,470,108,0,2912,127,1715,240,267,2199,145,649,1578,328,169,105,61,511,509,550,0,375,472,35,69,127,0,5,455,257,0,249,7480,677,2841,1452,81,1215,195,276,99,28143,36,99,213,182,23490,8,2407,1042,7,30,3391,13,65,2300,16400,758,116,227,315,1879,1656,149,4892,508,159,890,118,528,2581
0400000US45,45,South Carolina,228408,8918,4770,1512,702,801,257,170,502,12075,425,319,8995,478,329,1247,1235,456,10,869,298,406,639,120,390,378,123,432,63,245,1095,899,2666,2706,148,85,8840,361,931,2406,4641,2,537,10683,710,258,232,834,137,344,848,161,1238,124,727,8834,101,1799,4893,565,852,220,89,520,405,360,28,485,39,65,457,511,8,221,1078,459,123,980,13,385,327,1433,239,510,582,772,70,10692,299,313,2036,6,1548,80,793,3665,177,189,71162,314,1298,3029,7300,5567,1013,1333,1144,271,2940,572,7932,1090,314,1885,460,1242,8044
0400000US46,46,South Dakota,25430,428,159,37,47,5,28,26,9,955,37,27,643,142,69,30,132,7,0,54,30,26,12,218,8,88,59,0,0,5,38,55,303,636,412,0,1079,50,17,181,750,145,102,836,16,48,850,114,20,11,66,48,214,19,1120,1214,8,781,405,145,12,21,0,0,52,21,6,0,22,335,1604,351,251,0,63,47,488,151,0,21,358,35,0,366,47,72,10,476,0,1,114,6,110,0,79,121,10,0,3250,17,0,522,1629,174,140,9,20,29,77,9,77,30,6,417,0,90,1076
0400000US47,47,Tennessee,314975,6889,3765,1020,456,622,162,324,369,10732,261,337,8051,839,210,405,853,384,0,526,266,191,207,208,653,513,242,151,11,332,846,1632,2732,1542,858,382,12128,369,1901,3535,8134,218,1537,20126,2646,209,1112,1980,228,426,1453,332,4532,659,703,8368,140,1602,8635,4770,596,862,480,723,1387,575,785,775,168,484,3559,1810,2007,214,7538,438,1461,1178,0,1197,1199,3376,359,1152,1063,1427,65,10647,606,98,4549,124,1105,60,1445,1623,105,34,92949,405,814,7762,12291,8165,824,1320,1131,309,1405,1027,2963,709,581,1620,92,1489,9495
0400000US48,48,Texas,4399080,48273,22049,9778,4333,3302,1428,1800,2396,56501,1470,2186,36676,4679,1589,2790,6593,1730,45,6418,1406,846,2447,1432,1959,2946,460,492,530,473,6974,6228,14742,6064,4169,849,121720,8655,27503,13540,54205,2642,11177,199186,25432,1385,12325,49151,3903,1355,8612,6711,8698,5655,11935,92517,3273,15701,164528,12965,4123,6273,3529,7231,7295,4057,186,6405,333,2881,16733,13730,3600,6110,7255,3073,3905,8759,75,6131,3767,52763,2349,12274,5606,7216,343,73849,1118,950,30316,1451,7660,1267,3758,12043,323,1197,2518225,4526,4505,184894,64634,89909,16770,9012,11631,4509,15287,4606,39994,8032,4148,18851,1458,23113,48168
0400000US49,49,Utah,242766,5501,3047,1107,584,196,443,258,440,7775,173,165,4421,1381,528,287,910,224,26,1027,184,135,241,375,242,110,14,61,0,121,652,439,1519,840,2262,106,8048,487,1567,2447,4438,369,274,5473,1327,110,1595,619,94,287,1386,409,1573,276,1145,5019,85,1841,6549,1359,230,51,60,379,814,138,36,256,381,34,662,609,1043,41,123,131,629,819,0,418,152,339,178,708,1308,2127,159,2901,38,6,702,9,1027,0,369,328,84,170,102780,8,362,7083,4515,1862,958,252,4247,655,2851,3111,2555,1539,70,5577,647,1991,8439
0400000US50,50,Vermont,26656,1719,874,380,127,147,73,65,115,2575,133,37,1540,333,149,103,216,84,20,100,27,50,36,76,202,123,46,38,12,152,347,167,433,167,903,28,1380,29,158,262,801,6,28,702,99,13,512,42,13,46,40,46,144,52,139,588,11,273,816,219,59,30,10,94,144,0,0,87,11,0,120,387,265,115,99,11,24,131,2,133,0,40,12,59,159,200,0,552,0,12,83,0,53,3,79,175,0,19,869,10,25,37,215,147,19,10,62,79,224,77,299,31,153,116,21,45,5149
0400000US51,51,Virginia,966601,20776,9280,4779,1778,2266,831,692,874,28505,1156,1062,18374,2395,713,2885,4534,1546,68,2900,943,795,2565,789,1317,1543,404,588,76,517,3043,3268,8631,4486,2539,623,45516,3226,6841,7658,53004,10880,8495,76081,15118,826,7327,23660,1678,849,4352,2013,2298,1729,1464,53768,677,7680,44772,7019,1730,2240,876,3618,5294,1575,543,4557,334,2670,22731,2881,2374,2528,7705,6016,3755,2299,100,13965,2077,4599,5376,3253,2263,2850,269,33163,480,733,6556,582,5439,414,3530,8726,131,693,59560,385,2359,95253,26536,28939,3959,4132,5355,26977,5881,2640,11206,4072,2247,25306,1646,4904,15265
0400000US53,53,Washington,937563,21111,10689,4363,1776,2044,1352,2461,2162,29684,1699,602,18173,3591,1226,1222,2412,439,30,1389,261,3282,2254,634,1849,1329,877,535,102,5282,4125,7739,18825,33319,3262,413,72238,9105,12572,17521,45684,1106,721,57181,7196,2097,2172,3353,777,1283,13347,4540,6881,2087,1767,63022,1302,7604,55872,3513,2110,503,342,1414,1897,763,466,1818,718,2431,14991,4912,7767,251,2485,716,929,2419,19,1322,952,1795,137,1934,3326,4956,3269,6520,37,141,1545,46,1224,17,935,1323,16,104,232010,425,389,10408,10635,3879,1532,1447,1660,445,3768,1590,3714,1091,400,3673,323,1565,44871
0400000US54,54,West Virginia,28365,1174,541,243,125,200,38,17,62,1711,61,48,1284,39,36,118,456,59,0,182,0,7,115,9,68,69,0,0,0,8,232,84,631,51,118,0,2671,34,251,539,824,41,13,2295,825,68,307,299,40,0,0,53,51,120,51,1598,35,337,1001,12,77,83,17,168,691,114,11,128,0,0,201,21,0,21,148,53,33,81,0,90,101,417,0,74,185,203,4,1213,55,3,348,70,129,12,126,381,5,0,2686,24,23,433,326,388,74,52,135,55,175,111,397,71,94,688,24,75,1250
